,channel_name,subscribers,views,videos,published_date,channel_title,channel_id
394,Data Science Show,8930,1061236,188,2014-03-08T08:09:34Z,Data Science Show,UCLSFrH7H3Memua6CV7bdVcQ
396,"Data Mining, Text Mining, Künstliche Intelligenz",340,30952,388,2020-11-19T15:12:13.097349Z,,
398,Data Science -  24SEVEN,14,164,7,2022-05-06T14:33:45.169529Z,Data Science -  24SEVEN,UCGsrIRb_ALrmT2xnzGvrGjw
400,Wayfair Data Science,1830,80578,17,2019-01-02T17:38:58Z,Wayfair Data Science,UCe2PjkQXqOuwkW1gw6Ameuw
402,MASTER 2 SISE DATA SCIENCE,3030,152695,143,2020-10-18T15:18:31.233344Z,MASTER 2 SISE DATA SCIENCE,UCo01KLTiDA7JPX0B-Yk6IFg
404,Conquer DataScience,354,14876,29,2021-10-15T10:47:52.931706Z,Conquer DataScience,UCCeaY00SkPBdB2IO4qvIoFg
406,NYC Data Science Academy,6300,333670,243,2014-05-30T16:42:43Z,NYC Data Science Academy,UCWElRq0YXcjo4YJD0TNPh5g
408,Synapse Data Science,4520,147471,82,2020-09-27T19:36:27.373502Z,Synapse Data Science,UCluWMdcn8an5v9u3zYLlDcg
410,Data Science Diaries,328,13841,77,2012-06-12T11:59:44Z,Data Science Diaries,UCMi2_TIHEVFWv7GBOtx6YnA
412,Data Science Garage,28,866,46,2020-06-10T13:18:52.87658Z,Data Science Garage,UCLhx5RCmUl3cOti6vJq0DPA
413,Data Science Garage,28,866,46,2020-06-10T13:18:52.87658Z,Data Science Garage,UCOEuOH6cY8yisodud25hb7w
416,Unidad de Data Science - UdeC,75,1074,13,2020-08-28T21:42:25.661384Z,Unidad de Data Science - UdeC,UC1Fb0WudCafIAzLjKsoXWrw
418,FPTU Data Science Club,79,1901,37,2020-12-30T17:16:26.670154Z,FPTU Data Science Club,UCZRh__foWK6edVle8gID2zw
420,Mostafa Abd El Haliem,5,0,0,2011-06-19T04:47:36Z,Mostafa Abd El Haliem,UCszzqp_5ZhSgh1Ka9tId1iA
422,Becoming a Data Scientist,11400,761049,71,2019-12-28T21:27:14.333314Z,Becoming a Data Scientist,UCFVHt6gpzRxx8BsdSSYDjVQ
424,Fast Data Science Ltd,10,990,5,2020-05-14T11:35:15.817131Z,Fast Data Science Ltd,UCLPrDH7SoRT55F6i50xMg5g
426,DataTH - Data Science ชิลชิล,5830,130086,25,2017-08-23T16:17:56Z,DataTH - Data Science ชิลชิล,UC3tagfnPsb5QiJzx0iUGxwg
428,Prosper,179,1861,4,2022-02-26T02:14:14.445008Z,Prosper,UCnVdKqizkKHzre3JfwGVhfg
430,datascience@berkeley,1570,237500,39,2014-01-13T22:02:06Z,datascience@berkeley,UCmX1GEsooIaaaJPeuMRswcQ
432,Data Science for the Lazy,369,14758,36,2019-10-11T03:49:29.599051Z,Data Science for the Lazy,UC6TPFoJKM4jMCRZgaiJlq2g
434,Data Science Cyclist,434,35479,5,2018-12-02T20:45:18Z,Data Science Cyclist,UCtIwNyv9VE74AxUI07Z0B2w
436,Biodiversity Data Science,845,31278,32,2020-08-04T01:05:09.071816Z,Biodiversity Data Science,UCAxw75f8aIKi-ciS5PM_qmg
438,Data Science Foundation International,1350,63774,90,2016-03-18T18:55:07Z,Data Science Foundation International,UCgURMi5Be6B6AOrgXuOnctQ
440,MeanThat & Authentic Data Science,43200,5837718,240,2013-12-10T06:16:48Z,MeanThat & Authentic Data Science,UCbndT3Yjo72smFSSFuaFN2A
442,Harvard Data Science Initiative,768,16205,52,2017-09-27T17:10:50Z,Harvard Data Science Initiative,UCl0IFA3-VcWOadMbNiUH2aw
444,Towards Data Science,13800,250826,146,2018-11-16T14:20:49Z,Towards Data Science,UCuHZ1UYfHRqk3-5N5oc97Kw
446,Data Science,1180,35528,151,2020-11-10T08:12:41.122593Z,Data Science,UCHxRt1sueuXyJP3bvOayMqg
447,Data Science,1180,35528,151,2020-11-10T08:12:41.122593Z,Data Science,UCMrS1v0jxtItBVU1jCnilwA
448,Data Science,1180,35528,151,2020-11-10T08:12:41.122593Z,Data Science,UCYxBKzSYTal4BJaEZKKYwEQ
449,Data Science,1180,35528,151,2020-11-10T08:12:41.122593Z,Data Science,UCpP2EVfi3O2eZgGGgpTegtA
450,Data Science,1180,35528,151,2020-11-10T08:12:41.122593Z,Data Science,UCoEfiAnpSCy6lmJpM_Jkb0w
456,Galvanize Data Science,1610,275046,705,2019-08-16T14:32:40Z,Galvanize Data Science,UC65Th93eDb2iuD-9fZVnjFg
458,Data Science Earth,2720,76597,201,2020-02-27T18:08:33.499233Z,Data Science Earth,UCthTgF6OlUpvSG8kr7Z3-EQ
460,Vienna Data Science Group,228,11534,47,2016-11-03T19:21:19Z,Vienna Data Science Group,UC6QK4pOaKBmPRwGCFLYklLA
462,LearningFuze Coding & Data Science Bootcamp,319,1556539,83,2015-09-14T19:16:55Z,LearningFuze Coding & Data Science Bootcamp,UCBGJCP4BqzTjmIf1gp3kbqg
464,Algoritma Data Science School,13000,365160,359,2017-10-30T09:44:48Z,Algoritma Data Science School,UCCix0G-RLoRTenSFEGrQILQ
466,Halıcıoğlu Data Science Institute,301,19731,53,2019-03-05T16:32:15Z,Halıcıoğlu Data Science Institute,UCEtfQBcNYHtB1QVieVvOCNQ
468,Data Science Monks,498,19637,25,2019-12-01T08:13:06.529116Z,Data Science Monks,UC7Dm0JNdyAs3BI2ZLN5ZCxA
470,Data Science Dose,598,7762,17,2020-06-06T15:01:35.344222Z,Data Science Dose,UCeoGIloarEOj-6sxFRdmVKQ
472,Session With Sumit,4260,165908,54,2020-08-04T12:55:20.425Z,Session With Sumit,UCJxwkGYv5lz_m0vAsY6iQJA
474,PhiBITech,390,7586,62,2021-06-29T13:15:16.410266Z,PhiBITech,UC2gi8JwI9jJAZRFFr3uREAA
476,AppTweak: ASO Tool Driven By Data Science,655,23426,28,2015-02-11T10:12:17Z,AppTweak: ASO Tool Driven By Data Science,UCZUg9QTOHBdasciePfwnwFg
478,Data Science Bond,180,5716,21,2020-04-02T04:39:25.491606Z,Data Science Bond,UCE_LIY6ly83faUIo7dbyf8w
480,TechViz - The Data Science Guy,5500,182687,106,2020-07-27T14:52:41.649233Z,TechViz - The Data Science Guy,UCoz8NrwgL7U9535VNc0mRPA
482,Data Science Mastermind,130,1904,30,2021-04-28T09:59:19.079314Z,Data Science Mastermind,UCIrdNQW-obGQakZ9kwvu14Q
484,Michigan Institute for Data Science,347,26775,125,2019-12-23T16:54:30.333862Z,Michigan Institute for Data Science,UCQJNvq6i65HPmYTw9pdfb6A
486,Matt on Data Science,311,7616,27,2007-04-24T20:51:52Z,Matt on Data Science,UCtzmz6BfJqDx-8IHkh6ovwA
488,VoglData,430,37258,43,2017-11-06T18:02:33Z,VoglData,UCYpvCSU8jUg79DlYKJnbC7A
490,Mantissa Data Science,86,1544,7,2020-12-31T14:40:43.700184Z,Mantissa Data Science,UC-gp964K7jMIzSd2jBoWZCg
492,Data Science Learner,86,5420,8,2017-09-03T06:49:52Z,Data Science Learner,UCklbW9u8IweOMbUN_AuyWvw
494,Data Science Connect,377,14677,308,2018-12-14T18:12:43Z,Data Science Connect,UC-6zQaSCJKUTNaLKGZVn8zg
496,Dr. Data Science,2190,73969,36,2017-08-25T04:37:34Z,Dr. Data Science,UCq8JE4cOzY_CHy7f1PwbwwQ
498,Introduction to Data Analytics,14800,1717842,51,2015-05-08T08:53:39Z,Introduction to Data Analytics,UC6N-EsMNp9xVTj-ct008HIQ
500,Learn Data Science with Pranjal,1650,86957,66,2019-10-11T18:04:52.919675Z,Learn Data Science with Pranjal,UC9QtA7vgIigc1hy5ijQ6NEw
502,Crafting Data Science,74,1255,9,2019-08-22T13:20:04Z,Crafting Data Science,UCLnoj_FRbFIuQGktkvUOXeA
504,Vanderbilt Data Science,135,4000,60,2017-09-29T20:52:26Z,Vanderbilt Data Science,UCJUwHSLYEkp8QyTL6Czm0ow
506,Swiss Data Science Center,90,4730,49,2019-02-15T13:25:19Z,Swiss Data Science Center,UCyuJc6HtKnYY2B4n_Lg-bhA
508,Data Science Association,197,7733,30,2021-07-05T17:43:12.21827Z,Data Science Association,UCMn0HoBKOccGnyOCpp7HvFQ
510,Kyiv Data Science,33,368,3,2021-12-19T21:16:18.805808Z,Kyiv Data Science,UCt5CurpYHXJd22pm7my-yMA
512,Data Science for Healthcare Claims Data,72,2206,14,2020-12-06T02:46:46.588553Z,Data Science for Healthcare Claims Data,UC_tA3l9J3ZhZxw4VAm16Lmw
514,Sagitto Data Science,16,3298,9,2018-03-28T02:38:36Z,Sagitto Data Science,UCOBBE2tg_5-Ijif-xitA7ew
516,"Division of Computing, Data Science, and Society",457,34335,109,2018-01-26T00:10:00Z,"Division of Computing, Data Science, and Society",UCYosMoD6e3_RLZyFmMXB30w
518,Charles Jansen,2860,1444473,141,2019-07-08T00:18:11Z,Charles Jansen,UCv7sFaSX7L5AzQF6cHUfgVg
520,İstanbul Data Science Academy,560,11264,9,2020-02-14T09:10:41.214346Z,İstanbul Data Science Academy,UCKEbjedTGvyNVb20Cgv9Cfg
522,LSSTC Data Science Fellowship,348,6942,79,2016-08-02T16:35:28Z,LSSTC Data Science Fellowship,UC2GI4z22BohgRf0vHXrqA7g
524,Anastasia K,36100,1176534,35,2020-05-04T14:02:05.076365Z,Anastasia K,UCbWVgqVWcthADXHgxXJn1bA
526,Skillbox Программирование,81900,3904726,1446,2014-12-20T10:36:25Z,Skillbox Программирование,UCHJZFCpwlXV7Sie1dV6pQLw
528,TIBCO Data Science,393,8638,46,2020-04-13T18:09:09.608483Z,TIBCO Data Science,UCJmrgkK7Tc6od9KwZc3YJiw
530,Adriaan in Data Science,51,2076,5,2021-07-16T20:46:23.774672Z,Adriaan in Data Science,UCgySZx3rsciJZtICgF3LzPQ
532,Real Data Science,57,2191,13,2018-03-04T19:22:29Z,Real Data Science,UCEN5A4KTR3Fb2s0WepVUkeQ
534,Máster Online en Big Data y Data Science - UNED,67,8518,22,2017-07-27T09:39:43Z,Máster Online en Big Data y Data Science - UNED,UCiyCEDBmLwh48XLZsNn7Uxg
536,Rutgers Data Science Club,5,145,2,2022-02-07T19:10:49.643232Z,Rutgers Data Science Club,UCzFkViUp49zxqFPcifTacrw
538,Belajar Data Science Mudah,987,68254,8,2019-10-06T23:16:21Z,Belajar Data Science Mudah,UCSu1MKGdVX04a2meVd1rwbA
540,Data Science Theory,430,7235,24,2020-02-14T03:32:06.174582Z,Data Science Theory,UC2gWrPPj8EFhEyKuWRk00QA
542,Technical Course,1290,197709,180,2020-10-18T01:20:50.976424Z,Technical Course,UCcHxuGmToNPOHEEBn6lRt5Q
544,Data Science Courses,17500,1004135,81,2015-09-22T00:02:29Z,Data Science Courses,UCKJNzy_GuvX3SAg3ipaGa8A
546,CARTO,3830,253415,299,2014-06-26T13:12:15Z,CARTO,UC8p3ZhwdRiGrjUdY6bigB3Q
548,Open Data Science,11700,309847,358,2015-05-29T21:16:03Z,Open Data Science,UCDS20hpBFiv_Kdp5Ibh0vew
550,WA Data Science Innovation Hub,39,1459,12,2020-06-24T07:49:36.845179Z,WA Data Science Innovation Hub,UCR1U03vqGVB8gFTeuCk_Lqg
552,Data Science Africa,198,2446,21,2020-04-07T05:14:30.030583Z,Data Science Africa,UCG_XDHclKZxP8MknQQYSw-g
554,Ômega Data Science,1520,12396,42,2021-01-15T14:28:51.807072Z,Ômega Data Science,UC8I5vCEW-JN90WREUPUMYOQ
556,sentdex,1150000,104114803,1253,2012-12-16T20:49:11Z,sentdex,UCfzlCWGWYyIQ0aLC5w48gBQ
558,ProjectPro - Data Science Projects,3560,249451,255,2020-05-20T06:22:20.335331Z,ProjectPro - Data Science Projects,UCfuyYAtTG15_db2PRuaerZg
560,Warwick Data Science Society,250,12352,66,2020-04-26T21:09:53.278954Z,Warwick Data Science Society,UCIsrd9wsNF5blsacM7f6GqA
562,Data Science Devil's,871,65844,35,2018-02-21T09:14:00Z,Data Science Devil's,UCLrwOn78HDNil7-HBzLJt-w
564,Thinking Machines Data Science,42,1193,3,2020-12-01T04:39:23.996425Z,Thinking Machines Data Science,UCgpqpOMUfX_z0GHrHsoK9mw
566,Objectif Data Science | avec Vincent,119,2014,4,2022-01-13T20:38:55.426093Z,Objectif Data Science | avec Vincent,UCY4IP9M6wPQZUuwwEwcq_8g
568,Foundations of Data Science,1870,171222,112,2017-10-29T13:20:34Z,Foundations of Data Science,UCHxCgxeMzE3vkxVsqyudzdA
570,Глеб Михайлов,10100,464992,226,2011-07-31T16:19:41Z,Глеб Михайлов,UClndvajuNPjUjFcKcg0X8OA
572,UChicago Data Science Institute,367,20847,99,2019-05-09T15:38:32Z,UChicago Data Science Institute,UCf_vMLzedhxTSvsUwVgpAgA
574,Caribou Data Science,962,105007,4660,2020-07-13T23:38:33.454691Z,Caribou Data Science,UCEYlsdkxG4hY6c5-5d3gxCw
576,LSE Data Science Institute,196,4389,34,2021-04-29T10:24:18.447237Z,LSE Data Science Institute,UCF_eco5GKDJVjHY388kpwkA
578,xavecoding - prof. samuka,3180,181084,299,2016-08-05T16:01:27Z,xavecoding - prof. samuka,UCICVlpgW9gVd0UXbOALDFaQ
580,"TECHNOGEEKS - Data Science, Python, Hadoop, AWS, Selenium, ETL training Institute Pune",1900,7998,32,2018-04-05T07:50:06Z,"TECHNOGEEKS - Data Science, Python, Hadoop, AWS, Selenium, ETL training Institute Pune",UCvr1SeiMwo0fyIU3Cu87ZuA
582,UvA Data Science,135,17016,40,2021-05-25T10:57:52.426198Z,UvA Data Science,UCdUfTAZ0Q_3mnziJf3fo5Qw
584,Cloud and Data Science,1470,65257,47,2020-03-29T21:42:00.354787Z,Cloud and Data Science,UCiLPAqeX3BVO6pgpOwAPHhA
586,Data Science club VIT Bhopal,53,579,3,2022-02-25T04:26:32.682993Z,Data Science club VIT Bhopal,UC5pB8eW_kDoimQ5s4S7QgeA
588,Data Science at Home,380,12636,155,2006-09-20T05:45:22Z,Data Science at Home,UCS3-Fuwaty1mc8MH6vJTVTw
590,Jochen Kruppa,265,42758,251,2011-02-15T15:38:15Z,Jochen Kruppa,UC2xiDQc3vBk2UPJizRWrXeQ
592,Data Science Cafe,280,9930,17,2018-12-01T09:18:21Z,Data Science Cafe,UC37zJCO9zHxt1vx-dnrIsjQ
594,Data Science & Machine Learning - MLMINDS,8270,380241,38,2018-08-30T09:20:46Z,Data Science & Machine Learning - MLMINDS,UCJI8JFi_4U5sl_rg26-B6oQ
596,Data Science Wizards,113,3392,23,2019-12-21T08:37:23.497426Z,Data Science Wizards,UCSIvV0n3Dcf1tUji1exYbGQ
598,Data Science Dream Job,7690,0,0,2018-03-06T03:10:30Z,Data Science Dream Job,UCr6_XCxMLXWGguWZi_93n7w
600,Women in Data Science (WiDS) Villach,27,2844,25,2021-09-28T21:28:17.02763Z,Women in Data Science (WiDS) Villach,UCYM7iu9dmt22aeBjQHdNM4Q
602,Data Science for Social Good PT,65,1427,25,2020-05-13T20:41:07.081734Z,Data Science for Social Good PT,UCv_9d3U9IiNORl7q_FoIK_g
604,Learn Data Engineering,30600,832482,196,2017-04-18T04:57:16Z,Learn Data Engineering,UCY8mzqqGwl5_bTpBY9qLMAA
606,London Clojurians,1940,131568,107,2019-04-02T12:58:18Z,London Clojurians,UC-pYfofTyvVDMwM4ttfFGqw
608,Florida Data Science for Social Good (FL-DSSG),38,3056,47,2017-08-23T16:39:39Z,Florida Data Science for Social Good (FL-DSSG),UCcXKi-04zVU6g4UpeeNCA6Q
610,WQU Data Science Module,8020,10820,2,2018-02-05T16:15:57Z,WQU Data Science Module,UCW5qH1I2RMA0CnJ0uo7OTvQ
612,"Online Learning SharePoint online , Data Science",1210,103611,214,2018-08-29T13:43:47Z,"Online Learning SharePoint online , Data Science",UCCVGHzydkUkcrwMjdxsoouQ
614,Vancouver Women in Data Science,286,6421,28,2020-05-10T16:31:36.649917Z,Vancouver Women in Data Science,UCRLazM0-4DRSTN4an4gv6ZA
616,Carolina Analytics & Data Science,25,296,10,2021-11-15T21:31:25.903389Z,Carolina Analytics & Data Science,UCO44Yjhjuo5-TLUCAaP0-cQ
618,Data Science UA,1390,135340,191,2016-11-20T20:46:40Z,Data Science UA,UCtMLt48fRjCqiUvKemsDzMw
620,Data science colloquium CFM-ENS,271,11716,20,2017-01-02T10:32:16Z,Data science colloquium CFM-ENS,UCAhx5LLlJDi8pTLI2EICKjQ
622,codebasics Hindi,45300,1641808,130,2019-09-16T04:32:32Z,codebasics Hindi,UCTmFBhuhMibVoSfYom1uXEg
624,Open Data Science Initiative,2390,221713,220,2011-09-30T13:43:56Z,Open Data Science Initiative,UCUjuEqUQbTrJ11f8nkWltQQ
626,Data Science TV,45,941,22,2022-05-23T03:19:16.635808Z,Data Science TV,UC0FfG3bn67bLRBsld6IjXRg
627,Data Science TV,45,941,22,2022-05-23T03:19:16.635808Z,Data Science TV,UCaIVkwxOJWzduge0zIp0viQ
630,Uprising in DataScience,1340,18525,85,2020-11-30T11:49:29.868999Z,Uprising in DataScience,UCIW5oGyAJ6rwo91BDacDqlg
632,Mario Filho,20400,500836,107,2010-07-03T20:37:00Z,Mario Filho,UCIFd_i2iwYox1PPm9rD8wFA
634,Metis Data Science Training,2280,190120,117,2014-08-11T19:57:08Z,Metis Data Science Training,UCpbU53RP134D9qy9GzKBAXA
636,Academic Data Science Alliance,74,2257,78,2020-04-02T20:16:49.874632Z,Academic Data Science Alliance,UCd1rcIFUbpF8E907xK62cfQ
638,Data Science Center,1460,434550,111,2015-08-19T17:21:34Z,Data Science Center,UC8GVW7XtwXCHeztZb_MYHbg
640,jonathanwreed,785,148916,195,2008-01-09T02:53:53Z,jonathanwreed,UC9OUJZE2oIwa6rqWSqYoXKw
642,Indian AI Production,36200,4124630,392,2019-05-31T18:54:12Z,Indian AI Production,UCNzs7V6xG5GO0i_i6Grojyw
644,Data Science Bits,1060,26485,21,2020-06-22T18:53:55.221305Z,Data Science Bits,UCRfjUTMaWq85GKqNKa0js6A
646,dfcidatascience,867,60158,45,2020-05-29T16:34:20.632049Z,dfcidatascience,UCGujjX38v6lGOHBEwkPhT_g
648,Data Science for Social Good,595,13771,105,2018-08-30T14:10:50Z,Data Science for Social Good,UCAcKfCrYIGA3MBjdZIy63ng
650,The Data Science Channel,90,5503,19,2021-11-14T14:38:05.42528Z,The Data Science Channel,UCkp0ctv0vCNfh7i7D9GnHhw
652,Learn Data Science with BIET,118,3363,12,2020-03-23T05:31:02.903286Z,Learn Data Science with BIET,UCzX-eYwCOHBBxRdu0W58hXg
654,Learn Data Science,1630,64516,69,2018-04-12T00:09:27Z,Learn Data Science,UCJhW_16uxALr0X4olEW2p5A
655,Learn Data Science,1630,64516,69,2018-04-12T00:09:27Z,Learn Data Science,UCGBfiCUQZHY5wnnVnQzV7pw
656,Learn Data Science,1630,64516,69,2018-04-12T00:09:27Z,Learn Data Science,UCEu0zQIMxlLNqZQGxghPNog
657,Learn Data Science,1630,64516,69,2018-04-12T00:09:27Z,Learn Data Science,UCyV_sDyCIsoHm-8iow5kkYQ
662,Data Science TV,15,7916,1,2020-05-05T22:54:38.380906Z,Data Science TV,UC0FfG3bn67bLRBsld6IjXRg
663,Data Science TV,15,7916,1,2020-05-05T22:54:38.380906Z,Data Science TV,UCaIVkwxOJWzduge0zIp0viQ
666,DATA SCIENCE PROJECT,1240,48967,2,2020-03-29T01:37:37.566517Z,DATA SCIENCE PROJECT,UC7ZZuAjLHq5RYXtA6Ccm1EQ
668,Frankfurt Data Science,938,36075,30,2018-02-12T14:44:49Z,Frankfurt Data Science,UC69KcsyQvkqcyDsY1xcU7MQ
670,IU Data Science,175,54686,29,2016-04-29T20:02:39Z,IU Data Science,UC_OR_L6rgJI20QjSWRLBvWA
672,Community Data Science Collective,11,478,8,2021-08-30T22:13:56.419523Z,Community Data Science Collective,UCp30xPnzVktEvwEMW6h2eTA
674,Maglytic - Data Science Simplified!,13,745,65,2021-09-19T14:32:29.254793Z,Maglytic - Data Science Simplified!,UC1BKeQl3PtqJij-DohJ6JhQ
676,TECHNICAL ASSOCIATION OF DATA SCIENCE-IARE,194,6281,9,2022-03-19T14:47:39.995812Z,TECHNICAL ASSOCIATION OF DATA SCIENCE-IARE,UCtqdmIEZGMAT3ppXAK-lihw
678,SJC Data Science Trichy,74,2198,17,2021-08-30T07:01:21.182885Z,SJC Data Science Trichy,UCQxIgf4aoOxnS30jW3TbIvA
680,Tech86,3,57,116,2013-01-29T18:23:48Z,Tech86,UCxh6CMevp43uGD8n4QqbDpQ
682,The High ROI Data Scientist,2700,39909,105,2020-11-17T17:33:06.207464Z,The High ROI Data Scientist,UCkYooZtwK_RJAd9SdL1jfeA
684,Codanics,18600,958972,286,2021-02-26T10:07:40.740115Z,Codanics,UCmNXJXWONLNF6bdftGY0Otw
686,Toulouse Data Science,72,1829,15,2015-03-15T15:13:31Z,Toulouse Data Science,UC_dWVY1oW1RHEpVci2eW-2A
688,Saima Data Science,1230,32298,194,2020-11-30T05:14:50.564237Z,Saima Data Science,UCpfpcC77JZ5aNa0_PcHi-JQ
690,Liga de Data Science UNICAMP,0,30,1,2022-08-11T16:21:09.400142Z,Liga de Data Science UNICAMP,UCjDNyveZuHcM6ywy9alwzGg
692,Parag Dhawan,1120,278068,385,2019-11-14T07:24:24.529316Z,Parag Dhawan,UCFqeqjMPuWyP2lmJx7JIX_w
694,Data Science and AI for Beginners and Kids,1420,155613,53,2010-10-14T03:40:05Z,Data Science and AI for Beginners and Kids,UCeibmp6E1k5Eqwwt_nQL87g
696,Shilpa Banerjee,4,259,22,2016-01-05T15:20:36Z,Shilpa Banerjee,UCXkjl-2zfhw3R6nv9pzctTA
698,learn with AK,749,62682,229,2013-03-03T05:59:32Z,learn with AK,UC_C6LlUcicrD0O5dwXHS3Jw
700,Data Science with Morteza,14,421,9,2021-09-23T18:38:02.931623Z,Data Science with Morteza,UCFJVz0N2GDpQM8euE-xkKHQ
702,code_your_own_AI,998,57010,220,2021-03-03T16:00:48.46873Z,code_your_own_AI,UCfOvNb3xj28SNqPQ_JIbumg
704,Data Science,131,4246,37,2013-02-17T05:34:42Z,Data Science,UCHxRt1sueuXyJP3bvOayMqg
705,Data Science,131,4246,37,2013-02-17T05:34:42Z,Data Science,UCMrS1v0jxtItBVU1jCnilwA
706,Data Science,131,4246,37,2013-02-17T05:34:42Z,Data Science,UCYxBKzSYTal4BJaEZKKYwEQ
707,Data Science,131,4246,37,2013-02-17T05:34:42Z,Data Science,UCpP2EVfi3O2eZgGGgpTegtA
708,Data Science,131,4246,37,2013-02-17T05:34:42Z,Data Science,UCoEfiAnpSCy6lmJpM_Jkb0w
714,HaloTech Academy,206,2200,20,2022-04-01T06:13:39.958949Z,HaloTech Academy,UC3abfTxNmYKy0U5HfOSL9Zw
716,Introduction to Data Science,31,4666,64,2022-01-19T18:30:49.159493Z,Introduction to Data Science,UCgpvzMJe9d6_JtpiHeYhjZg
718,Itaú,1330000,1393300139,1182,2006-09-27T22:00:28Z,Itaú,UC0yw39DOcCOwyUj2uY8vbuA
720,Zürich Machine Learning and Data Science Meetup,580,41902,7,2014-03-02T00:44:46Z,Zürich Machine Learning and Data Science Meetup,UCEjoVUeRe7AmWBrjmeS1VQg
722,Easy Data Science,10,263,7,2021-05-17T14:33:26.304621Z,Easy Data Science,UCiuoyvVKtsyDyM8N3-JPPPw
724,PASS Data Science Virtual Group,611,17717,19,2015-01-12T22:52:51Z,PASS Data Science Virtual Group,UCqB3xWdwjA9soFV6EOu7qfg
726,HACKTIV8,9270,9936634,677,2016-11-24T06:28:13Z,HACKTIV8,UCyTOwW6s6zmGGFGmLDkfp2w
728,Data Science,41,4955,37,2021-01-09T03:59:27.985748Z,Data Science,UCHxRt1sueuXyJP3bvOayMqg
729,Data Science,41,4955,37,2021-01-09T03:59:27.985748Z,Data Science,UCMrS1v0jxtItBVU1jCnilwA
730,Data Science,41,4955,37,2021-01-09T03:59:27.985748Z,Data Science,UCYxBKzSYTal4BJaEZKKYwEQ
731,Data Science,41,4955,37,2021-01-09T03:59:27.985748Z,Data Science,UCpP2EVfi3O2eZgGGgpTegtA
732,Data Science,41,4955,37,2021-01-09T03:59:27.985748Z,Data Science,UCoEfiAnpSCy6lmJpM_Jkb0w
738,Data Science for All,9060,503329,295,2017-03-29T17:23:22Z,Data Science for All,UCo-3_hRV1Zk2dyvcIReeyKg
740,Berkeley Institute for Data Science (BIDS),5290,284568,348,2014-08-26T20:38:23Z,Berkeley Institute for Data Science (BIDS),UCBBd3JxQl455JkWBeulc-9w
742,Simply Data Science,60,3716,28,2021-08-31T01:26:20.273287Z,Simply Data Science,UCALaUVZALq2rLaJDzu_Geiw
744,Data Science by Hadi,171,17446,8,2017-12-27T19:35:31Z,Data Science by Hadi,UCuUos05DqrTKOsyVfew6BPw
746,R_Py Data Science,509,17080,59,2011-10-08T13:45:05Z,R_Py Data Science,UCpHd6O1Yqz4YgcYUBfyRqKg
748,UM Data Science Lab,14,817,7,2020-05-09T22:49:50.437717Z,UM Data Science Lab,UCuao6owUe0VOQw0CCw94xQg
750,Alex The Analyst,269000,10721356,160,2020-01-08T05:04:24.970712Z,Alex The Analyst,UC7cs8q-gJRlGwj4A8OmCmXg
752,Automation & Data Science,955,3275,64,2021-11-26T12:14:57.919651Z,Automation & Data Science,UCOGLG_-uQco3Z7YGXtbEbEg
754,Escola Data Science ,6,42,3,2022-04-30T01:39:59.961405Z,Escola Data Science ,UC8qxe76RoMFd1AF456GUglQ
756,Stack,37600,2122589,246,2018-02-04T13:44:43Z,Stack,UCZ8gRCp3vixlGVAtplCDd5Q
758,Caribbean Data Science,279,7259,239,2021-02-13T15:34:35.470235Z,Caribbean Data Science,UCrYyWKKNcrabk02nK-WyGsg
760,Data Science Milan,652,42473,77,2016-05-20T10:17:15Z,Data Science Milan,UCs2qF9vC15HL5vQMGhOQZdQ
762,Data Science with Raghav,1320,110150,17,2016-10-28T00:04:23Z,Data Science with Raghav,UC86OgfmVfguW69_0uIEffVQ
764,DASH: Data Science Center in Health,217,8702,36,2020-04-30T14:13:57.447947Z,DASH: Data Science Center in Health,UCwXMKrGJ6LZfsLlypI_d72A
766,运筹OR帷幄(Operation Research China Society),24,414,74,2022-06-25T03:37:14.877755Z,运筹OR帷幄(Operation Research China Society),UCytqifJRR_OCOkpq-FYO3YA
768,Data Science Basics,153,20701,5,2020-06-01T08:09:41.295305Z,Data Science Basics,UCgp6nN1scpqtVk68EKCPooA
770,Data Science,435,27831,8,2016-10-17T13:58:33Z,Data Science,UCHxRt1sueuXyJP3bvOayMqg
771,Data Science,435,27831,8,2016-10-17T13:58:33Z,Data Science,UCMrS1v0jxtItBVU1jCnilwA
772,Data Science,435,27831,8,2016-10-17T13:58:33Z,Data Science,UCYxBKzSYTal4BJaEZKKYwEQ
773,Data Science,435,27831,8,2016-10-17T13:58:33Z,Data Science,UCpP2EVfi3O2eZgGGgpTegtA
774,Data Science,435,27831,8,2016-10-17T13:58:33Z,Data Science,UCoEfiAnpSCy6lmJpM_Jkb0w
780,REU Data Science Club,68,1356,25,2021-02-01T23:26:05.338869Z,REU Data Science Club,UC19qdYDoI6eHG1apGbaF4EA
782,Data Science Coach,368,8803,18,2021-08-22T08:05:28.296005Z,Data Science Coach,UC3bjbWYK7S_FLW0y0Ux4tyQ
784,Lyon Data Science,1140,34237,20,2015-08-14T18:21:53Z,Lyon Data Science,UC4NLKb2EhK3JTT45lUbqfHQ
786,UBC's Data Science & Health Cluster,4,531,7,2021-06-14T22:22:28.4612Z,UBC's Data Science & Health Cluster,UC7_D0xw6zP_1nu29sUlGQIA
788,Rocketing Data Science,638,41453,56,2021-02-20T12:28:06.434533Z,Rocketing Data Science,UCUIBKDoSSwehuDK4jk1CjFQ
